🕘️更新时间,#genre#
2026-09-26 10:27:51,https://0472.org/hls/cgtna.m3u8
📺央视频道,#genre#
CGTN阿语,https://0472.org/hls/cgtna.m3u8
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CCTV-3 (720p),http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV-3 (720p),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd
CCTV-11 (720p),http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV-11 (720p),http://38.75.136.137:98/gslb/dsdqbv/cctv11hd.m3u8?auth=test20251009
CCTV-17 HD (1080p),http://74.91.26.218:82/live/cctv17hd.m3u8
CCTV-17 HD (1080p),http://38.75.136.137:98/gslb/dsdqbv/cctv17hd.m3u8?auth=test20251009
CCTV-17 HD (1080p),http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv17hd
CCTV-2 (720p),http://173.208.212.130:8181/720p/cctv2.m3u8
CCTV-2 (720p),http://173.208.212.130:8181/1080p/cctv2.m3u8
CCTV-2 (720p),http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV-2 (720p),http://bztv.tvbus.cc:8081/cdnlive/cctv2.m3u8
CCTV-12 (720p),http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV-12 (720p),http://36.136.38.87:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12 (720p),http://107.150.60.122/live/cctv12hd.m3u8
CCTV-12 (720p),http://38.75.136.137:98/gslb/dsdqbv/cctv12hd.m3u8?auth=test20251009
CCTV-10 (720p),http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV-10 (720p),http://38.75.136.137:98/gslb/dsdqbv/cctv10hd.m3u8?auth=test20251009
CCTV-10 (720p),http://221.226.51.220:50081/newlive/live/hls/11/live.m3u8
CCTV-15,http://74.91.26.218:82/live/cctv15hd.m3u8
CCTV-15,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv15hd
CCTV-15,http://38.75.136.137:98/gslb/dsdqbv/cctv15hd.m3u8?auth=test20251009
CCTV-14 HD (1080p),http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV-14 HD (1080p),http://38.75.136.137:98/gslb/dsdqbv/cctv14hd.m3u8?auth=test20251009
CCTV-14 HD (1080p),https://event.pull.hebtv.com/jishi/cp2.m3u8
CCTV-6 HD (1080p),http://69.30.245.50/live/cctv6.m3u8
CCTV-6 HD (1080p),http://173.208.212.130:8181/720p/cctv6.m3u8
CCTV-7 (720p),http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV-1 (720p),http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV-1 (720p),http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV-8 (720p),http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV-8 (720p),http://bztv.tvbus.cc:8081/cdnlive/cctv8.m3u8
CCTV-13 (720p),http://74.91.26.218:82/live/cctv13hd.m3u8
CCTV-13 (720p),http://36.136.38.87:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13 (720p),https://event.pull.hebtv.com/jishi/cp1.m3u8
CCTV-16,http://38.75.136.137:98/gslb/dsdqbv/cctv16hd.m3u8?auth=test20251009
CCTV-5,http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009
CCTV-4,http://207.56.13.146:81/cdnlive/cctv4.m3u8
CCTV-9 纪录,https://v4-e6b1c5baf4e240fe63adbf68dda23435.livehwc4.com/play.kankanlive.com/live/1698423397390920.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=1e9730e0063c850647fc4a725fa3e333
📡卫视频道,#genre#
新疆卫视,http://107.150.60.122/live/xjws.m3u8
新疆卫视,http://218.84.12.186:8001/hls/main/playlist.m3u8?zxinjd;http://218.84.12.186:8001/hls/main/playlist.m3u8zxinjd
新疆卫视,http://59.39.89.130:60901/tsfile/live/0125_17.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://107.150.60.122/live/zjwshd.m3u8
浙江卫视,http://36.136.38.87:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://ali-xwl.cztv.com/live/channel01720Plxw.m3u8
